Lag,HistoricalACF,SimulatedACF
0,1,1
1,0.318977977333901,0.47849752185039
2,0.259968298815347,-0.133045861326812
3,0.161150327237626,-0.206542270952227
4,0.085052361105977,-0.0600847522261334
5,0.0876898983882699,0.01112444549838
6,0.0352560386154388,0.0480179573625575
7,0.0131723019216112,0.0971819784792762
8,-0.00152007392550969,0.12239911823923
9,0.0020088218827756,0.0840005536629846
10,-0.00381648558814178,0.0393422435986675
11,8.04571981590732e-05,0.0352684692088907
12,-0.0013747414719729,0.0512281512505552
13,-0.00199388287148052,0.0332689476873605
14,-0.00404271533379207,0.0161485109180408
15,-0.0026253269448435,0.0210413453836396
16,-0.00225282307228643,0.0334858386659267
17,0.0091290266079532,0.023695001511743
18,0.0186041854511931,0.00922866749897581
19,0.0508990056722329,0.0225095545531154
20,0.0713970227445757,0.0520134476030346
21,0.0748138028640866,0.0628900176272057
22,0.103003409716411,0.0425594303802543
23,0.13301108084623,0.0147147312048561
24,0.231120363224994,0.0135272122803867
25,0.136981300594413,0.029229254365243
26,0.115324193907753,0.041520036137249
27,0.086631739653947,0.0344760310796026
28,0.0449086556445805,0.0271959566034996
29,0.0580034618996661,0.0241855267284505
30,0.0123263001414045,0.0247036140199487
31,0.000749255867911798,0.0213001395011465
32,-0.00422739120802933,0.0170330996129514
33,-0.00437686904795527,0.0191938712062069
34,-0.00462509351580791,0.0396535589397403
35,-0.00472075255202806,0.0416845589718349
36,-0.00480335410824045,0.0255853965305549
37,-0.00477541128404643,0.0147230879294334
38,-0.00477119009637104,0.0231053942168442
39,-0.00447180142311953,0.0321458877643488
40,-0.00401796451995336,0.0238702359607178
41,0.000404868486195048,0.0200223917055666
42,0.0203504935078121,0.0262942418815031
43,0.0418992768286678,0.0167377186125919
44,0.0652945894618388,0.0177637673761036
45,0.0373163846311889,0.0237218783186702
46,0.0755286458794997,0.0290446349506442
47,0.123553453618133,0.0317270015282376
48,0.115149101766916,0.0272948985022084
49,0.0899392347996339,0.0249006506742437
50,0.0557698835711161,0.0379202338833311
